"1 _ 1",,,"2 _ 1",,,"3 _ 1",,,"4 _ 1",,
"Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0","1.937548","0","0","0.3560384","0","0","-0.02861023","0","0","1.059373","0"
"0.01","1.94788","0","0.01","0.3584226","0","0.01","-0.02622604","0","0.01","1.063347","0"
"0.02","1.952648","3.333333E-05","0.02","0.3623962","3.333333E-05","0.02","-0.02463659","3.333333E-05","0.02","1.066526","3.333333E-05"
"0.03","1.950264","6.666667E-05","0.03","0.3655752","6.666667E-05","0.03","-0.02622604","6.666667E-05","0.03","1.065731","6.666667E-05"
"0.04","1.945496","0.0001333333","0.04","0.3679594","0.0001333333","0.04","-0.02940496","0.0001666667","0.04","1.061757","0.0001333333"
"0.05","1.945496","0.0002666667","0.05","0.3655752","0.0003333333","0.05","-0.02861023","0.0003666667","0.05","1.063347","0.0003"
"0.06","1.94788","0.0004666667","0.06","0.3600121","0.0006","0.06","-0.01986822","0.0006","0.06","1.073678","0.0005666667"
"0.07","1.953443","0.0007333333","0.07","0.3560384","0.0008333334","0.07","-0.01271566","0.0008333334","0.07","1.087189","0.0008"
"0.08","1.971722","0.001033333","0.08","0.3608068","0.001066667","0.08","-0.0111262","0.001066667","0.08","1.100699","0.001066667"
"0.09","2.012253","0.0013","0.09","0.371933","0.001333333","0.09","-0.0111262","0.001266667","0.09","1.128515","0.001266667"
"0.1","2.090136","0.001533333","0.1","0.3878275","0.001566667","0.1","-0.006357829","0.0015","0.1","1.177788","0.001466667"
"0.11","2.209346","0.001766667","0.11","0.4084905","0.001766667","0.11","-0.0007947286","0.0017","0.11","1.235803","0.001666667"
"0.12","2.35637","0.001966667","0.12","0.4291534","0.001966667","0.12","0.007947286","0.001833333","0.12","1.283487","0.001833333"
"0.13","2.508163","0.002166667","0.13","0.4434586","0.002133333","0.13","0.0166893","0.002","0.13","1.30415","0.002033333"
"0.14","2.644857","0.002333333","0.14","0.4561742","0.002333333","0.14","0.02622604","0.0022","0.14","1.309713","0.002233333"
"0.15","2.757708","0.0025","0.15","0.4641215","0.002466667","0.15","0.03099442","0.002366667","0.15","1.313686","0.0024"
